Algebraic Connectivity,Average Degree,Clique Number,Density,Diameter,Domination Number,Edge Connectivity,Girth,Group Size,Independence Number,Index,Laplacian Largest Eigenvalue,Matching Number,Maximum Degree,Minimum Degree,Number of Edges,Number of Spanning Trees,Number of Triangles,Number of Vertices,Number of Zero Eigenvalues,Radius,Second Largest Eigenvalue,Smallest Eigenvalue,Vertex Connectivity,Vertex Cover Number,Smallest Resistance Curvature,Largest Resistance Curvature,Smallest Forman Curvature,Largest Forman Curvature,Number of 3-gons,Number of 4-gons,Number of 5-gons,Number of 6-gons,Number of 7-gons,Number of 8-gons,Number of 9-gons,Number of 10-gons,Number of 11-gons,Number of 12-gons,name,boolean
1.234,5.556,4.0,0.214,3.0, 4,4.0,3.0,1.0,9.0,6.878,15.398,13.0,14.0,4.0,75.0,2147483647.0,57.0,27.0,0.0,2.0,3.884,-3.516,3.0,18.0,-0.8528467504727233,0.2340668661409892,-16,2,50,0,0,0,0,0,0,0,0,0,P715,True
1.151,5.556,4.0,0.214,4.0, 4,4.0,3.0,1.0,9.0,6.864,14.627,13.0,13.0,4.0,75.0,2147483647.0,57.0,27.0,2.0,2.0,3.997,-3.562,3.0,18.0,-0.7307174066009664,0.235765072855693,-15,2,50,0,0,0,0,0,0,0,0,0,P716,True
1.106,5.556,4.0,0.214,4.0, 4,4.0,3.0,1.0,9.0,6.852,14.548,13.0,13.0,4.0,75.0,2147483647.0,57.0,27.0,0.0,2.0,4.054,-3.472,3.0,18.0,-0.7342300284494016,0.236759891057214,-15,2,50,0,0,0,0,0,0,0,0,0,P717,True
1.131,5.556,4.0,0.214,4.0, 4,4.0,3.0,1.0,9.0,6.853,14.55,13.0,13.0,4.0,75.0,2147483647.0,57.0,27.0,0.0,2.0,4.013,-3.472,3.0,18.0,-0.7343167296628152,0.2367796076609614,-15,2,50,0,0,0,0,0,0,0,0,0,P718,True
1.223,5.556,4.0,0.214,3.0, 4,4.0,3.0,1.0,9.0,6.87,14.804,13.0,13.0,4.0,75.0,2147483647.0,57.0,27.0,2.0,2.0,3.881,-3.568,3.0,18.0,-0.7395290594312669,0.2356508730768561,-16,2,50,0,0,0,0,0,0,0,0,0,P719,True
1.179,5.556,4.0,0.214,3.0, 4,4.0,3.0,1.0,9.0,6.932,15.427,13.0,14.0,4.0,75.0,2147483647.0,58.0,27.0,1.0,2.0,3.974,-3.497,3.0,18.0,-0.8175717931194134,0.2283533301165599,-17,2,50,0,0,0,0,0,0,0,0,0,P720,True
1.12,5.556,4.0,0.214,4.0, 4,4.0,3.0,1.0,9.0,6.885,14.619,13.0,13.0,4.0,75.0,2147483647.0,58.0,27.0,3.0,2.0,4.027,-3.461,3.0,18.0,-0.7242776553333631,0.2336625393463216,-15,2,50,0,0,0,0,0,0,0,0,0,P721,True
1.205,5.556,4.0,0.214,3.0, 4,4.0,3.0,1.0,9.0,6.893,14.784,13.0,13.0,4.0,75.0,2147483647.0,58.0,27.0,3.0,2.0,3.876,-3.461,3.0,18.0,-0.7239591232965954,0.233810364682665,-16,2,50,0,0,0,0,0,0,0,0,0,P722,True
1.001,5.556,4.0,0.214,4.0, 5,4.0,3.0,1.0,9.0,6.846,14.586,13.0,13.0,4.0,75.0,2147483647.0,58.0,27.0,3.0,2.0,4.072,-3.499,3.0,18.0,-0.73536212865385,0.2357233463220013,-15,2,50,0,0,0,0,0,0,0,0,0,P723,True
1.134,5.556,4.0,0.214,4.0, 5,4.0,3.0,1.0,10.0,6.855,14.201,13.0,12.0,4.0,75.0,2147483647.0,58.0,27.0,3.0,2.0,3.883,-3.47,3.0,17.0,-0.6244256323557508,0.2388090518112357,-14,2,50,0,0,0,0,0,0,0,0,0,P724,True
1.241,5.556,4.0,0.214,3.0, 4,4.0,3.0,1.0,9.0,6.911,15.402,13.0,14.0,4.0,75.0,2147483647.0,58.0,27.0,1.0,2.0,3.861,-3.435,3.0,18.0,-0.835196328549652,0.2315557634277885,-17,2,50,0,0,0,0,0,0,0,0,0,P725,True
1.076,5.556,4.0,0.214,4.0, 5,4.0,3.0,1.0,10.0,6.879,15.363,13.0,14.0,4.0,75.0,2147483647.0,58.0,27.0,1.0,2.0,4.101,-3.419,3.0,17.0,-0.8403023957385444,0.23313248111704,-16,2,50,0,0,0,0,0,0,0,0,0,P726,True
1.045,5.556,4.0,0.214,4.0, 5,4.0,3.0,1.0,9.0,6.875,14.746,13.0,13.0,4.0,75.0,2147483647.0,58.0,27.0,1.0,2.0,4.15,-3.427,3.0,18.0,-0.7305220275095013,0.2322112815860581,-16,2,50,0,0,0,0,0,0,0,0,0,P727,True
1.24,5.556,4.0,0.214,3.0, 4,4.0,3.0,1.0,9.0,6.906,15.397,13.0,14.0,4.0,75.0,2147483647.0,58.0,27.0,1.0,2.0,3.864,-3.434,3.0,18.0,-0.8368883476735026,0.2320982335875021,-17,2,50,0,0,0,0,0,0,0,0,0,P728,True
1.036,5.556,4.0,0.214,4.0, 5,4.0,3.0,1.0,9.0,6.87,14.744,13.0,13.0,4.0,75.0,2147483647.0,58.0,27.0,1.0,2.0,4.16,-3.418,3.0,18.0,-0.7310194461892962,0.2324187228096473,-16,2,50,0,0,0,0,0,0,0,0,0,P729,True
0.988,5.556,4.0,0.214,4.0, 5,4.0,3.0,1.0,9.0,6.857,15.353,13.0,14.0,4.0,75.0,2147483647.0,58.0,27.0,1.0,2.0,4.142,-3.409,3.0,18.0,-0.8488528544454291,0.2341933319542602,-16,2,50,0,0,0,0,0,0,0,0,0,P730,True
1.212,5.556,4.0,0.214,4.0, 4,4.0,3.0,1.0,9.0,6.896,15.384,13.0,14.0,4.0,75.0,2147483647.0,58.0,27.0,1.0,2.0,3.888,-3.459,3.0,18.0,-0.8353247564062816,0.2336220260377915,-16,2,50,0,0,0,0,0,0,0,0,0,P731,True
1.081,5.556,4.0,0.214,4.0, 4,4.0,3.0,1.0,9.0,6.861,14.632,13.0,13.0,4.0,75.0,2147483647.0,58.0,27.0,1.0,2.0,4.068,-3.465,3.0,18.0,-0.7325037920614366,0.2384300147171829,-15,2,50,0,0,0,0,0,0,0,0,0,P732,True
1.156,5.556,4.0,0.214,4.0, 4,4.0,3.0,1.0,9.0,6.868,14.802,13.0,13.0,4.0,75.0,2147483647.0,58.0,27.0,1.0,2.0,3.928,-3.465,3.0,18.0,-0.7325493502909793,0.2384090938003368,-16,2,50,0,0,0,0,0,0,0,0,0,P733,True
1.141,5.556,4.0,0.214,3.0, 4,4.0,3.0,1.0,9.0,6.905,15.414,13.0,14.0,4.0,75.0,2147483647.0,58.0,27.0,1.0,2.0,4.01,-3.459,3.0,18.0,-0.8337217264584764,0.2329243783327572,-17,2,50,0,0,0,0,0,0,0,0,0,P734,True
1.222,5.556,4.0,0.214,3.0, 4,4.0,3.0,2.0,9.0,6.915,14.798,13.0,13.0,4.0,75.0,2147483647.0,58.0,27.0,1.0,2.0,3.854,-3.467,3.0,18.0,-0.7194338048578651,0.22902115196763,-16,2,50,0,0,0,0,0,0,0,0,0,P735,True
1.144,5.556,4.0,0.214,4.0, 4,4.0,3.0,2.0,9.0,6.907,14.738,13.0,13.0,4.0,75.0,2147483647.0,58.0,27.0,1.0,2.0,3.999,-3.466,3.0,18.0,-0.7199812794204238,0.2292113099882571,-16,2,50,0,0,0,0,0,0,0,0,0,P736,True
1.222,5.556,4.0,0.214,4.0, 4,4.0,3.0,2.0,10.0,6.914,15.405,13.0,14.0,4.0,75.0,2147483647.0,58.0,27.0,3.0,2.0,3.883,-3.471,3.0,17.0,-0.8280751449291577,0.2281177956768065,-16,2,50,0,0,0,0,0,0,0,0,0,P737,True
1.105,5.556,4.0,0.214,4.0, 4,4.0,3.0,1.0,10.0,6.809,14.005,13.0,12.0,4.0,75.0,2147483647.0,57.0,27.0,1.0,2.0,4.056,-3.481,3.0,17.0,-0.6335463473100985,0.2461147552788635,-14,2,50,0,0,0,0,0,0,0,0,0,P738,True
1.156,5.556,4.0,0.214,4.0, 4,4.0,3.0,1.0,10.0,6.818,14.2,13.0,12.0,4.0,75.0,2147483647.0,57.0,27.0,3.0,2.0,3.937,-3.555,3.0,17.0,-0.6394174738086015,0.2451603059913047,-14,2,50,0,0,0,0,0,0,0,0,0,P739,True
1.078,5.556,4.0,0.214,4.0, 4,4.0,3.0,1.0,9.0,6.855,14.591,13.0,13.0,4.0,75.0,2147483647.0,58.0,27.0,1.0,2.0,4.105,-3.495,3.0,18.0,-0.7205401836393082,0.2415009955453786,-15,2,50,0,0,0,0,0,0,0,0,0,P740,True
1.131,5.556,4.0,0.214,4.0, 5,4.0,3.0,1.0,10.0,6.821,14.001,13.0,12.0,4.0,75.0,2147483647.0,57.0,27.0,1.0,2.0,3.992,-3.47,3.0,17.0,-0.6300858519808327,0.2432656548046074,-14,2,50,0,0,0,0,0,0,0,0,0,P741,True
1.099,5.556,4.0,0.214,4.0, 4,4.0,3.0,1.0,9.0,6.824,14.579,13.0,13.0,4.0,75.0,2147483647.0,57.0,27.0,0.0,2.0,4.04,-3.514,3.0,18.0,-0.7535677286800015,0.2431463600052641,-15,2,50,0,0,0,0,0,0,0,0,0,P742,True
1.138,5.556,4.0,0.214,4.0, 4,4.0,3.0,1.0,9.0,6.826,14.581,13.0,13.0,4.0,75.0,2147483647.0,57.0,27.0,1.0,2.0,3.968,-3.52,3.0,18.0,-0.7538400106059507,0.2435616603476991,-15,2,50,0,0,0,0,0,0,0,0,0,P743,True
0.969,5.556,4.0,0.214,4.0, 5,4.0,3.0,1.0,9.0,6.791,13.969,13.0,12.0,4.0,75.0,2147483647.0,57.0,27.0,1.0,2.0,4.135,-3.452,3.0,18.0,-0.6387507359007809,0.2457568510823676,-14,2,50,0,0,0,0,0,0,0,0,0,P744,True
1.017,5.556,4.0,0.214,4.0, 4,4.0,3.0,1.0,9.0,6.806,14.009,13.0,12.0,4.0,75.0,2147483647.0,57.0,27.0,0.0,2.0,4.143,-3.493,3.0,18.0,-0.6324944041091878,0.2452704942557774,-14,2,50,0,0,0,0,0,0,0,0,0,P745,True
1.11,5.556,4.0,0.214,4.0, 4,4.0,3.0,1.0,9.0,6.826,14.577,13.0,13.0,4.0,75.0,2147483647.0,57.0,27.0,1.0,2.0,4.014,-3.519,3.0,18.0,-0.753868533554879,0.2435549731182391,-15,2,50,0,0,0,0,0,0,0,0,0,P746,True
1.078,5.556,4.0,0.214,4.0, 4,4.0,3.0,1.0,9.0,6.823,14.575,13.0,13.0,4.0,75.0,2147483647.0,57.0,27.0,0.0,2.0,4.082,-3.514,3.0,18.0,-0.753542160522589,0.2431549942926639,-15,2,50,0,0,0,0,0,0,0,0,0,P747,True
1.143,5.556,4.0,0.214,4.0, 5,4.0,3.0,1.0,9.0,6.824,13.996,13.0,12.0,4.0,75.0,2147483647.0,57.0,27.0,1.0,2.0,3.947,-3.46,3.0,18.0,-0.617260115938199,0.2436483181116865,-14,2,50,0,0,0,0,0,0,0,0,0,P748,True
1.147,5.556,4.0,0.214,4.0, 4,4.0,3.0,1.0,9.0,6.826,14.6,13.0,13.0,4.0,75.0,2147483647.0,57.0,27.0,3.0,2.0,3.95,-3.568,3.0,18.0,-0.7503698089597759,0.2441233954041041,-15,2,50,0,0,0,0,0,0,0,0,0,P749,True
1.159,5.556,4.0,0.214,4.0, 4,4.0,3.0,1.0,9.0,6.823,14.598,13.0,13.0,4.0,75.0,2147483647.0,57.0,27.0,1.0,2.0,3.932,-3.568,3.0,18.0,-0.7504844933955936,0.2452193935710185,-15,2,50,0,0,0,0,0,0,0,0,0,P750,True
1.089,5.556,4.0,0.214,4.0, 5,4.0,3.0,1.0,9.0,6.806,13.963,13.0,12.0,4.0,75.0,2147483647.0,57.0,27.0,1.0,2.0,4.035,-3.455,3.0,18.0,-0.6186213275745602,0.246304021546369,-14,2,50,0,0,0,0,0,0,0,0,0,P751,True
1.064,5.556,4.0,0.214,4.0, 5,4.0,3.0,1.0,9.0,6.806,13.967,13.0,12.0,4.0,75.0,2147483647.0,57.0,27.0,1.0,2.0,4.076,-3.455,3.0,18.0,-0.6277907105520573,0.2462850325520213,-14,2,50,0,0,0,0,0,0,0,0,0,P752,True
1.096,5.556,4.0,0.214,4.0, 4,4.0,3.0,1.0,9.0,6.818,14.206,13.0,12.0,4.0,75.0,2147483647.0,57.0,27.0,1.0,2.0,4.032,-3.562,3.0,18.0,-0.639479651808357,0.2451970756785848,-14,2,50,0,0,0,0,0,0,0,0,0,P753,True
1.119,5.556,4.0,0.214,4.0, 4,4.0,3.0,1.0,9.0,6.821,14.208,13.0,12.0,4.0,75.0,2147483647.0,57.0,27.0,3.0,2.0,3.98,-3.562,3.0,18.0,-0.6392555782094531,0.2441340025689947,-14,2,50,0,0,0,0,0,0,0,0,0,P754,True
1.145,5.556,4.0,0.214,4.0, 5,4.0,3.0,1.0,9.0,6.824,13.996,13.0,12.0,4.0,75.0,2147483647.0,57.0,27.0,1.0,2.0,3.934,-3.461,3.0,18.0,-0.6267342105310327,0.2436622648160031,-14,2,50,0,0,0,0,0,0,0,0,0,P755,True
1.07,5.556,4.0,0.214,4.0, 4,4.0,3.0,1.0,9.0,6.818,14.591,13.0,13.0,4.0,75.0,2147483647.0,57.0,27.0,1.0,2.0,4.08,-3.549,3.0,18.0,-0.7504804803249914,0.2450165263063725,-15,2,50,0,0,0,0,0,0,0,0,0,P756,True
1.142,5.556,4.0,0.214,4.0, 4,4.0,3.0,1.0,9.0,6.853,14.802,13.0,13.0,4.0,75.0,2147483647.0,58.0,27.0,3.0,2.0,3.958,-3.466,3.0,18.0,-0.7358477118784277,0.2427647315819263,-16,2,50,0,0,0,0,0,0,0,0,0,P757,True
1.063,5.556,4.0,0.214,4.0, 4,4.0,3.0,1.0,9.0,6.846,14.63,13.0,13.0,4.0,75.0,2147483647.0,58.0,27.0,3.0,2.0,4.097,-3.466,3.0,18.0,-0.7358828965351559,0.2427421434697908,-15,2,50,0,0,0,0,0,0,0,0,0,P758,True
1.121,5.556,4.0,0.214,4.0, 4,4.0,3.0,2.0,10.0,6.823,14.203,13.0,12.0,4.0,75.0,2147483647.0,58.0,27.0,3.0,2.0,4.007,-3.474,3.0,17.0,-0.6314225856649361,0.247475130245977,-14,2,50,0,0,0,0,0,0,0,0,0,P759,True
0.997,5.556,4.0,0.214,4.0, 5,4.0,3.0,1.0,9.0,6.824,14.456,13.0,13.0,4.0,75.0,2147483647.0,58.0,27.0,1.0,2.0,4.19,-3.424,3.0,18.0,-0.7391291807089282,0.2416719101275617,-14,2,50,0,0,0,0,0,0,0,0,0,P760,True
0.881,5.556,4.0,0.214,4.0, 5,4.0,3.0,1.0,9.0,6.786,13.715,13.0,12.0,4.0,75.0,2147483647.0,58.0,27.0,1.0,2.0,4.261,-3.409,3.0,18.0,-0.635700565811536,0.2430001550339028,-13,2,50,0,0,0,0,0,0,0,0,0,P761,True
1.138,5.556,4.0,0.214,4.0, 5,4.0,3.0,2.0,9.0,6.822,14.488,13.0,13.0,4.0,75.0,2147483647.0,58.0,27.0,3.0,2.0,3.914,-3.45,3.0,18.0,-0.7380393544256164,0.2479795506777524,-14,2,50,0,0,0,0,0,0,0,0,0,P762,True
1.055,5.556,4.0,0.214,4.0, 5,4.0,3.0,2.0,9.0,6.816,14.028,13.0,12.0,4.0,75.0,2147483647.0,58.0,27.0,3.0,3.0,4.054,-3.449,3.0,18.0,-0.6271852218108804,0.2479039106824227,-13,2,50,0,0,0,0,0,0,0,0,0,P763,True
0.973,5.556,4.0,0.214,4.0, 5,4.0,3.0,1.0,9.0,6.816,14.567,13.0,13.0,4.0,75.0,2147483647.0,58.0,27.0,3.0,2.0,4.127,-3.497,3.0,18.0,-0.7417306666134518,0.242263453279535,-15,2,50,0,0,0,0,0,0,0,0,0,P764,True
1.081,5.556,4.0,0.214,4.0, 4,4.0,3.0,1.0,9.0,6.834,14.524,13.0,13.0,4.0,75.0,2147483647.0,57.0,27.0,1.0,2.0,4.087,-3.477,3.0,18.0,-0.7381010070954278,0.2412137045074741,-15,2,50,0,0,0,0,0,0,0,0,0,P765,True
1.129,5.556,4.0,0.214,4.0, 4,4.0,3.0,1.0,9.0,6.846,14.624,13.0,13.0,4.0,75.0,2147483647.0,57.0,27.0,3.0,2.0,4.027,-3.553,3.0,18.0,-0.7347105384853013,0.2402192327750575,-15,2,50,0,0,0,0,0,0,0,0,0,P766,True
1.206,5.556,4.0,0.214,3.0, 4,4.0,3.0,1.0,9.0,6.852,14.801,13.0,13.0,4.0,75.0,2147483647.0,57.0,27.0,3.0,2.0,3.91,-3.556,3.0,18.0,-0.745443344985215,0.2403073458555284,-16,2,50,0,0,0,0,0,0,0,0,0,P767,True
1.148,5.556,4.0,0.214,3.0, 4,4.0,3.0,1.0,9.0,6.914,15.414,13.0,14.0,4.0,75.0,2147483647.0,58.0,27.0,1.0,2.0,4.015,-3.481,3.0,18.0,-0.8215444373560914,0.2328037381114705,-17,2,50,0,0,0,0,0,0,0,0,0,P768,True
1.11,5.556,4.0,0.214,3.0, 4,4.0,3.0,1.0,9.0,6.849,14.528,13.0,13.0,4.0,75.0,2147483647.0,57.0,27.0,1.0,2.0,4.057,-3.465,3.0,18.0,-0.7340649930751876,0.2382252421813399,-15,2,50,0,0,0,0,0,0,0,0,0,P769,True
1.132,5.556,4.0,0.214,3.0, 4,4.0,3.0,1.0,9.0,6.85,14.528,13.0,13.0,4.0,75.0,2147483647.0,57.0,27.0,1.0,2.0,4.016,-3.465,3.0,18.0,-0.7339898362929671,0.2382566987922773,-15,2,50,0,0,0,0,0,0,0,0,0,P770,True
1.107,5.556,4.0,0.214,4.0, 4,4.0,3.0,1.0,9.0,6.834,14.525,13.0,13.0,4.0,75.0,2147483647.0,57.0,27.0,1.0,2.0,4.045,-3.477,3.0,18.0,-0.7380991514550068,0.241201586071119,-15,2,50,0,0,0,0,0,0,0,0,0,P771,True
1.251,5.556,3.0,0.214,3.0, 4,4.0,3.0,1.0,9.0,6.826,14.597,13.0,13.0,4.0,75.0,2147483647.0,56.0,27.0,1.0,2.0,3.868,-3.561,3.0,18.0,-0.7381836766022166,0.2404291478711966,-15,2,50,0,0,0,0,0,0,0,0,0,P772,True
1.074,5.556,4.0,0.214,4.0, 5,4.0,3.0,1.0,9.0,6.826,14.507,13.0,13.0,4.0,75.0,2147483647.0,57.0,27.0,1.0,2.0,3.974,-3.435,3.0,18.0,-0.729037571331535,0.2410320022604958,-15,2,50,0,0,0,0,0,0,0,0,0,P773,True
1.126,5.556,4.0,0.214,4.0, 5,4.0,3.0,1.0,9.0,6.837,14.507,13.0,13.0,4.0,75.0,2147483647.0,57.0,27.0,1.0,2.0,4.017,-3.456,3.0,18.0,-0.7233234688075774,0.2413395691649948,-15,2,50,0,0,0,0,0,0,0,0,0,P774,True
1.146,5.556,4.0,0.214,4.0, 5,4.0,3.0,1.0,9.0,6.836,14.51,13.0,13.0,4.0,75.0,2147483647.0,57.0,27.0,1.0,2.0,3.984,-3.456,3.0,18.0,-0.723073510211534,0.241259858020347,-15,2,50,0,0,0,0,0,0,0,0,0,P775,True
1.216,5.556,4.0,0.214,4.0, 4,4.0,3.0,1.0,9.0,6.848,14.634,13.0,13.0,4.0,75.0,2147483647.0,57.0,27.0,1.0,2.0,3.89,-3.559,3.0,18.0,-0.7208110094495012,0.2402987501283338,-15,2,50,0,0,0,0,0,0,0,0,0,P776,True
1.184,5.556,4.0,0.214,4.0, 4,4.0,3.0,1.0,10.0,6.85,14.633,13.0,13.0,4.0,75.0,2147483647.0,57.0,27.0,3.0,2.0,3.932,-3.56,3.0,17.0,-0.7208767717346753,0.2391133142329597,-15,2,50,0,0,0,0,0,0,0,0,0,P777,True
1.179,5.556,4.0,0.214,3.0, 4,4.0,3.0,1.0,10.0,6.853,14.531,13.0,13.0,4.0,75.0,2147483647.0,57.0,27.0,1.0,2.0,3.948,-3.461,3.0,17.0,-0.7219073969790732,0.2386992532073443,-15,2,50,0,0,0,0,0,0,0,0,0,P778,True
1.142,5.556,4.0,0.214,3.0, 4,4.0,3.0,1.0,9.0,6.859,15.372,13.0,14.0,4.0,75.0,2147483647.0,57.0,27.0,0.0,2.0,4.021,-3.509,3.0,18.0,-0.8570071874153584,0.2379977450104986,-16,2,50,0,0,0,0,0,0,0,0,0,P779,True
1.131,5.556,4.0,0.214,3.0, 4,4.0,3.0,1.0,9.0,6.857,15.372,13.0,14.0,4.0,75.0,2147483647.0,57.0,27.0,0.0,2.0,4.006,-3.525,3.0,18.0,-0.8575631371301641,0.238610782878151,-16,2,50,0,0,0,0,0,0,0,0,0,P780,True
1.22,5.556,4.0,0.214,3.0, 4,4.0,3.0,1.0,10.0,6.861,15.373,13.0,14.0,4.0,75.0,2147483647.0,57.0,27.0,1.0,2.0,3.902,-3.512,3.0,17.0,-0.8578045951089796,0.2386613538984598,-16,2,50,0,0,0,0,0,0,0,0,0,P781,True
1.161,5.556,4.0,0.214,3.0, 4,4.0,3.0,1.0,9.0,6.858,15.371,13.0,14.0,4.0,75.0,2147483647.0,57.0,27.0,0.0,2.0,3.986,-3.51,3.0,18.0,-0.857079844906657,0.2381414946378627,-16,2,50,0,0,0,0,0,0,0,0,0,P782,True
1.145,5.556,4.0,0.214,3.0, 4,4.0,3.0,1.0,9.0,6.852,14.81,13.0,13.0,4.0,75.0,2147483647.0,57.0,27.0,1.0,2.0,3.97,-3.543,3.0,18.0,-0.7450609329965188,0.2387404547589567,-16,2,50,0,0,0,0,0,0,0,0,0,P783,True
1.16,5.556,4.0,0.214,3.0, 4,4.0,3.0,1.0,9.0,6.854,14.811,13.0,13.0,4.0,75.0,2147483647.0,57.0,27.0,1.0,2.0,3.977,-3.56,3.0,18.0,-0.7451347682119522,0.2398863645471532,-16,2,50,0,0,0,0,0,0,0,0,0,P784,True
1.202,5.556,4.0,0.214,4.0, 4,4.0,3.0,2.0,10.0,6.882,15.376,13.0,14.0,4.0,75.0,2147483647.0,58.0,27.0,3.0,2.0,3.891,-3.46,3.0,17.0,-0.8383649417745276,0.2378037982423919,-16,2,50,0,0,0,0,0,0,0,0,0,P785,True
1.026,5.556,4.0,0.214,4.0, 5,4.0,3.0,1.0,9.0,6.843,15.321,13.0,14.0,4.0,75.0,2147483647.0,58.0,27.0,1.0,2.0,4.051,-3.405,3.0,18.0,-0.8540003819892273,0.2391511380842862,-15,2,50,0,0,0,0,0,0,0,0,0,P786,True
1.145,5.556,4.0,0.214,4.0, 5,4.0,3.0,1.0,9.0,6.841,14.13,13.0,12.0,4.0,75.0,2147483647.0,58.0,27.0,3.0,2.0,3.892,-3.448,3.0,18.0,-0.6263230805783814,0.2430413425992871,-14,2,50,0,0,0,0,0,0,0,0,0,P787,True
1.09,5.556,4.0,0.214,4.0, 4,4.0,3.0,2.0,10.0,6.863,14.175,13.0,12.0,4.0,75.0,2147483647.0,58.0,27.0,3.0,2.0,4.063,-3.447,3.0,17.0,-0.6219155451304309,0.2378780789011757,-14,2,50,0,0,0,0,0,0,0,0,0,P788,True
1.025,5.556,4.0,0.214,4.0, 5,4.0,3.0,1.0,9.0,6.832,14.526,13.0,13.0,4.0,75.0,2147483647.0,58.0,27.0,3.0,2.0,4.0,-3.483,3.0,18.0,-0.741276642746213,0.2395569182508177,-15,2,50,0,0,0,0,0,0,0,0,0,P789,True
1.118,5.556,4.0,0.214,4.0, 5,4.0,3.0,1.0,9.0,6.848,14.527,13.0,13.0,4.0,75.0,2147483647.0,58.0,27.0,3.0,2.0,3.997,-3.449,3.0,18.0,-0.7343272006273732,0.2429883166385869,-15,2,50,0,0,0,0,0,0,0,0,0,P790,True
1.002,5.556,4.0,0.214,4.0, 4,4.0,3.0,1.0,9.0,6.837,15.36,13.0,14.0,4.0,75.0,2147483647.0,57.0,27.0,1.0,2.0,4.245,-3.481,3.0,18.0,-0.86012792212356,0.2374345147862513,-16,2,50,0,0,0,0,0,0,0,0,0,P791,True
0.931,5.556,4.0,0.214,4.0, 5,4.0,3.0,1.0,9.0,6.805,14.485,13.0,13.0,4.0,75.0,2147483647.0,57.0,27.0,1.0,2.0,4.255,-3.449,3.0,18.0,-0.7309572476744911,0.239612633694414,-15,2,50,0,0,0,0,0,0,0,0,0,P792,True
0.965,5.556,4.0,0.214,4.0, 4,4.0,3.0,1.0,9.0,6.82,14.491,13.0,13.0,4.0,75.0,2147483647.0,57.0,27.0,1.0,2.0,4.272,-3.436,3.0,18.0,-0.7222907252409396,0.2381989226859681,-15,2,50,0,0,0,0,0,0,0,0,0,P793,True
1.02,5.556,4.0,0.214,4.0, 4,4.0,3.0,1.0,10.0,6.823,14.488,13.0,13.0,4.0,75.0,2147483647.0,57.0,27.0,0.0,2.0,4.22,-3.422,3.0,17.0,-0.7241996190499178,0.2394150848632731,-15,2,50,0,0,0,0,0,0,0,0,0,P794,True
1.072,5.556,4.0,0.214,4.0, 5,4.0,3.0,1.0,10.0,6.833,14.545,13.0,13.0,4.0,75.0,2147483647.0,57.0,27.0,1.0,2.0,4.124,-3.535,3.0,17.0,-0.723498781285775,0.2390196914181769,-15,2,50,0,0,0,0,0,0,0,0,0,P795,True
1.063,5.556,4.0,0.214,4.0, 5,4.0,3.0,1.0,9.0,6.835,14.539,13.0,13.0,4.0,75.0,2147483647.0,57.0,27.0,1.0,2.0,4.117,-3.537,3.0,18.0,-0.7234677365809736,0.237783822070964,-15,2,50,0,0,0,0,0,0,0,0,0,P796,True
1.062,5.556,4.0,0.214,4.0, 4,4.0,3.0,1.0,9.0,6.839,14.763,13.0,13.0,4.0,75.0,2147483647.0,57.0,27.0,0.0,2.0,4.142,-3.469,3.0,18.0,-0.7516884793854447,0.2372983068238203,-16,2,50,0,0,0,0,0,0,0,0,0,P797,True
1.058,5.556,4.0,0.214,4.0, 4,4.0,3.0,1.0,9.0,6.839,14.763,13.0,13.0,4.0,75.0,2147483647.0,57.0,27.0,1.0,2.0,4.145,-3.466,3.0,18.0,-0.7515157994998323,0.2371725031631862,-16,2,50,0,0,0,0,0,0,0,0,0,P798,True
1.061,5.556,4.0,0.214,4.0, 5,4.0,3.0,1.0,9.0,6.832,14.498,13.0,13.0,4.0,75.0,2147483647.0,57.0,27.0,1.0,2.0,4.118,-3.513,3.0,18.0,-0.7243791582558569,0.2380963112193335,-15,2,50,0,0,0,0,0,0,0,0,0,P799,True
1.081,5.556,3.0,0.214,4.0, 4,4.0,3.0,1.0,9.0,6.809,14.52,13.0,13.0,4.0,75.0,2147483647.0,56.0,27.0,0.0,2.0,4.117,-3.466,3.0,18.0,-0.7402109337580439,0.2417893829827062,-15,2,50,0,0,0,0,0,0,0,0,0,P800,True
1.078,5.556,4.0,0.214,4.0, 4,4.0,3.0,1.0,9.0,6.844,15.365,13.0,14.0,4.0,75.0,2147483647.0,57.0,27.0,0.0,2.0,4.122,-3.506,3.0,18.0,-0.8600275701162404,0.2372464396206361,-16,2,50,0,0,0,0,0,0,0,0,0,P801,True
0.998,5.556,4.0,0.214,4.0, 4,4.0,3.0,1.0,9.0,6.817,14.488,13.0,13.0,4.0,75.0,2147483647.0,57.0,27.0,0.0,2.0,4.237,-3.444,3.0,18.0,-0.740667082202767,0.2399365907267164,-15,2,50,0,0,0,0,0,0,0,0,0,P802,True
0.994,5.556,4.0,0.214,4.0, 4,4.0,3.0,1.0,9.0,6.816,14.487,13.0,13.0,4.0,75.0,2147483647.0,57.0,27.0,1.0,2.0,4.24,-3.442,3.0,18.0,-0.7406051657554463,0.2399059873433802,-15,2,50,0,0,0,0,0,0,0,0,0,P803,True
1.037,5.556,4.0,0.214,4.0, 5,4.0,3.0,1.0,9.0,6.828,14.496,13.0,13.0,4.0,75.0,2147483647.0,57.0,27.0,1.0,2.0,4.16,-3.504,3.0,18.0,-0.7374293993417762,0.239034215479459,-15,2,50,0,0,0,0,0,0,0,0,0,P804,True
